"path","size_bytes","size_mib","over_50_mib","over_100_mib"
"src/model_quality/models/__init__.py","1","1E-06","False","False"
"src/model_quality/models/train_lightgbm.py","2414","0.002302","False","False"
"src/model_quality/models/train_logistic.py","5369","0.00512","False","False"
"src/model_quality/models/train_transformer.py","14272","0.013611","False","False"
"src/model_quality/reporting/__init__.py","1","1E-06","False","False"
"src/model_quality/reporting/write_reports.py","6832","0.006516","False","False"
"src/model_quality/retrieval/__init__.py","1","1E-06","False","False"
"src/model_quality/retrieval/bm25_retriever.py","1439","0.001372","False","False"
"src/model_quality/retrieval/cross_encoder_reranker.py","4507","0.004298","False","False"
"src/model_quality/retrieval/evidence_metrics.py","7246","0.00691","False","False"
"src/model_quality/risk/__init__.py","0","0","False","False"
"src/model_quality/risk/human_review.py","1342","0.00128","False","False"
"src/model_quality/simulation/__init__.py","152","0.000145","False","False"
"src/model_quality/simulation/scenarios.py","1175","0.001121","False","False"
"src/model_quality/telemetry/__init__.py","1","1E-06","False","False"
"src/model_quality/telemetry/evaluate_telemetry.py","554","0.000528","False","False"
"src/model_quality/telemetry/generate_genai_telemetry.py","2321","0.002213","False","False"
"src/model_quality/tracking/__init__.py","1","1E-06","False","False"
"src/model_quality/tracking/mlflow_logger.py","3945","0.003762","False","False"
"src/model_quality/utils.py","2193","0.002091","False","False"
"src/model_quality/validation/__init__.py","1","1E-06","False","False"
"src/model_quality/validation/quality_metrics.py","3845","0.003667","False","False"
"src/model_quality/validation/split_integrity.py","7916","0.007549","False","False"
"STRENGTHENING_LOOP_REPORT.md","6791","0.006476","False","False"
"tests/test_cross_encoder_batching.py","936","0.000893","False","False"
"tests/test_cross_encoder_fallback.py","434","0.000414","False","False"
"tests/test_data_quality.py","553","0.000527","False","False"
"tests/test_dataset_readiness.py","2388","0.002277","False","False"
"tests/test_drift.py","454","0.000433","False","False"
"tests/test_drift_injection.py","485","0.000463","False","False"
"tests/test_evidence_metrics.py","887","0.000846","False","False"
"tests/test_evidence_uplift.py","956","0.000912","False","False"
"tests/test_gate_severity.py","1003","0.000957","False","False"
"tests/test_gpu_preflight_optional.py","509","0.000485","False","False"
"tests/test_heldout_calibration.py","894","0.000853","False","False"
"tests/test_human_review.py","574","0.000547","False","False"
"tests/test_label_policy.py","441","0.000421","False","False"
"tests/test_label_policy_training_only.py","883","0.000842","False","False"
"tests/test_metrics.py","329","0.000314","False","False"
"tests/test_missing_like_quality.py","924","0.000881","False","False"
"tests/test_mlflow_fallback.py","853","0.000813","False","False"
"tests/test_model_selection.py","520","0.000496","False","False"
"tests/test_monte_carlo_champion_stability.py","658","0.000628","False","False"
"tests/test_monte_carlo_integrity.py","2141","0.002042","False","False"
"tests/test_monte_carlo_scenarios.py","851","0.000812","False","False"
"tests/test_multiclass_partial_coverage.py","892","0.000851","False","False"
"tests/test_primary_task_selection.py","660","0.000629","False","False"
"tests/test_product_taxonomy.py","956","0.000912","False","False"
"tests/test_public_sampling.py","1942","0.001852","False","False"
"tests/test_quality_gate.py","1344","0.001282","False","False"
"tests/test_retrieval.py","319","0.000304","False","False"
"tests/test_selection_protocol.py","1354","0.001291","False","False"
"tests/test_source_schema_quality.py","1310","0.001249","False","False"
"tests/test_split_integrity.py","1078","0.001028","False","False"
"tests/test_split_integrity_record_identity.py","1562","0.00149","False","False"
"tests/test_transformer_best_checkpoint_provenance.py","1069","0.001019","False","False"
"tests/test_transformer_device.py","254","0.000242","False","False"
"tests/test_uncertainty.py","887","0.000846","False","False"
"tests/test_unseen_labels.py","1384","0.00132","False","False"
