metric,n,mean,sample_std,min,max,range,coefficient_of_variation
best_checkpoint_macro_f1,3,0.6110413621389552,0.021383715007404647,0.5900560253915855,0.6328023488750899,0.04274632348350438,0.03499552785191297
selection_macro_f1,3,0.5775229539815494,0.019573576303398264,0.5625519130340406,0.5996722338305788,0.03712032079653815,0.03389229149846674
test_macro_f1,3,0.605730944056733,0.0049045810047132,0.6001643154387345,0.6094166990583841,0.00925238361964964,0.008096962938472292
test_pr_auc,3,0.6885287157950114,0.008488711434466249,0.6787726880848368,0.6942271955582071,0.015454507473370294,0.012328768923841814
test_ece,3,0.05873682618472311,0.0037313342922298044,0.05529764326413475,0.06270405445496237,0.007406411190827619,0.0635263178928842
test_worst_slice_f1,3,0.3112745098039216,0.025000000000000022,0.28627450980392155,0.3362745098039216,0.050000000000000044,0.08031496062992133
transformer_minus_fallback_test_macro_f1,3,-0.02126483821423612,0.005120428590076428,-0.02715215410414984,-0.017848504211762983,0.009303649892386856,0.24079320700631837
