seed,selection_winner,eligibility_status,launch_decision,best_checkpoint_macro_f1,selection_macro_f1,test_macro_f1,test_pr_auc,test_ece,test_worst_slice_f1,best_model_checkpoint,selection_rows,test_rows,fallback_test_macro_f1,transformer_minus_fallback_test_macro_f1
7,transformer_text_classifier,ELIGIBLE_CANDIDATE_SELECTED,REVIEW,0.5900560253915855,0.5703447150800287,0.6076118176730801,0.6787726880848368,0.05529764326413475,0.3112745098039216,<REPO_ROOT>\sa\s_20260612_234110\seed_7\outputs\transformer_model\checkpoint-876,1499,3000,0.6264056739998757,-0.018793856326795533
17,transformer_text_classifier,ELIGIBLE_CANDIDATE_SELECTED,REVIEW,0.6328023488750899,0.5625519130340406,0.6001643154387345,0.6925862637419901,0.05820878083507223,0.3362745098039216,<REPO_ROOT>\sa\s_20260612_234110\seed_17\outputs\transformer_model\checkpoint-876,1499,3000,0.6273164695428843,-0.02715215410414984
27,transformer_text_classifier,ELIGIBLE_CANDIDATE_SELECTED,REVIEW,0.6102657121501902,0.5996722338305788,0.6094166990583841,0.6942271955582071,0.06270405445496237,0.28627450980392155,<REPO_ROOT>\sa\s_20260612_234110\seed_27\outputs\transformer_model\checkpoint-876,1499,3000,0.6272652032701471,-0.017848504211762983
